neighborhood,average price,type,,,,,,,,
Woodstock,"$1,950",2_bedroom,,,,,,,,
Westchester Village,"$1,725",2_bedroom,,,,,,,,
Manhattan Beach,"$2,250",2_bedroom,,,,,,,,
Arden Heights,"$2,250",2_bedroom,,,,,,,,
Pelham Parkway,"$2,150",2_bedroom,,,,,,,,
Vinegar Hill,"$4,500",2_bedroom,,,,,,,,
Floral Park,"$2,300",2_bedroom,,,,,,,,
Oakwood,"$1,725",2_bedroom,,,,,,,,
East Tremont,"$1,800",2_bedroom,,,,,,,,
Mill Basin,"$1,950",2_bedroom,,,,,,,,
Woodlawn Heights,"$2,100",2_bedroom,,,,,,,,
Morrisania,"$1,879",2_bedroom,,,,,,,,
Midland Beach,"$1,700",2_bedroom,,,,,,,,
Prospect Park,"$4,650",2_bedroom,,,,,,,,
University Heights,"$1,995",2_bedroom,,,,,,,,
Belmont,"$1,856",2_bedroom,,,,,,,,
Willowbrook,"$1,550",2_bedroom,,,,,,,,
Melrose,"$2,095",2_bedroom,,,,,,,,
Clearview,"$2,300",2_bedroom,,,,,,,,
Gerritsen Beach,"$2,600",2_bedroom,,,,,,,,
Marble Hill,"$1,825",2_bedroom,,,,,,,,
